Código;Ubicación;Sector;Tipo;Tipo1;FECHA;Descripción
70618007;COCHABAMBA;Concluido;3 de mayo;;09/03/2015;El ingreso familiar ha incrementado de 243 $us a 302 $us
60508950;COCHABAMBA;Concluido;Chiñiri;;09/03/2015;El ingreso familiar ha incrementado de 243 $us a 302 $us
71850702;COCHABAMBA;Concluido;El Carmen;;09/03/2015;El ingreso familiar ha incrementado de 243 $us a 302 $us
27726266;COCHABAMBA;Concluido;Playa Ancha;;09/03/2015;El ingreso familiar ha incrementado de 243 $us a 302 $us
27726266;COCHABAMBA;Concluido;San Nicolas;;09/03/2015;El ingreso familiar ha incrementado de 243 $us a 302 $us
75882449;COCHABAMBA;Concluido;Ucuchi;;09/03/2015;El ingreso familiar ha incrementado de 243 $us a 302 $us
67127595;COCHABAMBA;Concluido;Abatiña Choro;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
